hashtitle,fulltext
cac18e1607884f9d4fe7e750b1078c080bb7f052,"Sukabumihitz – K-Pop Demon Hunters adalah film animasi musikal Amerika yang dirilis oleh Netflix pada Juni 2025, diproduksi oleh Sony Pictures Animation. Film ini menghadirkan konsep yang benar-benar segar yang menggabungkan budaya K-Pop dengan aksi fantasi tentang pemburu monster. Disutradarai oleh Maggie Kang dan Chris Appelhans, film ini berhasil mencuri perhatian dengan visual yang memukau, lagu-lagu yang adiktif, dan cerita yang penuh humor serta emosi.  Sinopsis Film Animasi K-Pop Demon Hunters  Film ini mengisahkan tentang Huntrix, sebuah grup K-Pop wanita yang terdiri dari tiga anggota: Rumi (Arden Cho), Mira (May Hong), dan Zoey (Ji-young Yoo). Di balik sorotan panggung dan gemerlap ketenaran, mereka menyimpan rahasia besar. Mereka adalah pemburu monster yang bertugas menjaga dunia dari ancaman supranatural yang dipimpin oleh raja dari para monster, Gwi-Ma (Lee Byung-hun).  Warisan ini telah ada dari generasi ke generasi. Para penyanyi wanita menggunakan suara mereka untuk mempertahankan Honmoon, sebuah penghalang magis yang memisahkan dunia manusia dari dunia monster.  Namun, tantangan terbesar muncul ketika Gwi-Ma mengirimkan boyband monster bernama Saja Boys, dengan leader bernama Jinu (Ahn Hyo-seop). Mereka melemahkan Honmoon dengan mencuri jiwa penggemar Huntrix. Konflik semakin rumit ketika Rumi, yang menyimpan rahasia tentang asal-usulnya sebagai keturunan manusia-monster, mulai membentuk ikatan tak terduga dengan Jinu. Cerita ini memadukan aksi, musikal, dan drama dengan sentuhan budaya Korea yang kental.  Visual dan Animasi yang Terinspirasi Dari Spider-Man: Into the Spider-Verse  Salah satu daya tarik utama K-Pop Demon Hunters adalah animasinya yang memukau hasil garapan Sony Pictures Animation, yang terkenal lewat Spider-Man: Into the Spider-Verse. Film ini mengadopsi gaya visual yang terinspirasi dari pencahayaan konser, fotografi editorial, drama Korea, dan anime. Setiap frame dirancang dengan detail yang luar biasa. Mulai dari kostum karakter yang mencerminkan kepribadian mereka hingga adegan aksi yang dinamis dan penuh warna.  Adegan pertarungan, seperti saat Huntrix melawan monster di pesawat pribadi sambil menyanyikan “How It’s Done”, adalah contoh sempurna bagaimana film ini memadukan koreografi aksi dengan ritme musik. Efek visual seperti ledakan konfeti saat pertarungan dengan monster atau perubahan bentuk pupil mata Zoey menjadi hati saat melihat Saja Boys menambah elemen komedi dalam film.  Soundtrack yang Melekat Kuat  Musik adalah jantung dari K-Pop Demon Hunters. Soundtrack-nya menampilkan lagu-lagu orisinal dari talenta seperti Jeongyeon, Jihyo, dan Chaeyoung dari TWICE. Lagu-lagu seperti “Takedown”, “Golden”, dan “How It’s Done” tidak hanya catchy, tetapi juga terintegrasi dengan cerita. Lagu-lagu ini memperkuat emosi dan aksi para karakter dalam film. “Golden”, misalnya, menjadi lagu harapan Huntrix yang menggambarkan semangat mereka, sementara lagu “Your Idol” Saja Boys memberikan dimensi emosional pada karakter antagonis.  Banyak penonton yang mengaku langsung menambahkan lagu-lagu ini ke playlist Spotify mereka, dengan beberapa menyebutnya “wall-to-wall bangers”. Bahkan bagi yang bukan penggemar K-Pop, lagu-lagu ini tetap terasa menarik karena produksi yang berkualitas tinggi dan lirik yang relatable.   Tema dan Pesan Film yang Lebih dari Sekadar Hiburan  Di balik premis yang terdengar “silly” tentang girlband pemburu monster, K-Pop Demon Hunters menyampaikan pesan yang kuat tentang penerimaan diri, persahabatan, dan tekanan industri K-Pop. Film ini secara halus mengkritik ekspektasi perfeksionisme dalam budaya idola, di mana para bintang harus tampak sempurna. Kisah Rumi yang berjuang dengan identitasnya sebagai setengah monster mencerminkan perjuangan universal untuk menerima ketidaksempurnaan.  Meskipun mendapat banyak pujian, K-Pop Demon Hunters bukannya tanpa cela. Beberapa penonton merasa bahwa ceritanya terlalu sederhana seperti mekanisme Honmoon atau asal-usul kekuatan Huntrix, kurang detail. Ending film ini juga menuai sedikit kritik karena terasa terlalu terburu-buru atau meninggalkan beberapa pertanyaan tanpa jawaban. Namun banyak juga yang melihatnya sebagai pintu yang sangat potensial untuk sebuah sekuel.  K-Pop Demon Hunters adalah sebuah kejutan yang menyenangkan di tahun 2025. Dengan premis unik, visual menarik, dan soundtrack yang adiktif, film ini berhasil menjadi lebih dari sekadar hiburan ringan. Meskipun ceritanya sederhana dan beberapa elemen kurang tergali, kekuatan film ini terletak pada eksekusi yang penuh semangat, humor yang cerdas, dan pesan emosional yang menyentuh. "
fb5561243439b9dbcf3c9e9dc8de3a98aa6b4d3f,"02 Jul 2025, 08:18 WIB  Suasana sekitar Pasar Ciputat (IDN Times/Muhamad Iqbal)  Intinya sih...  Martha menyebut lokasi titik parkir diantaranya; Gedung Plaza Ciputat, Kantor Pos Ciputat, Parkiran Gang Bancet, GOR Ciputat, dan Parkiran Masjid Agung Al-Jihad.  Jalan Haji Usman Ciputat kerap dilanda macet lantaran tingginya volume kendaraan yang melintas dari Jalan Aria Putra menuju Jalan KH Dewantara.  Dengan adanya penerapan sistem satu arah, titik konflik lalu lintas diharapkan berkurang sebesar 60 persen untuk mengatasi kemacetan di Ciputat.  Tangerang Selatan, IDN Times - Uji coba sistem satu arah (SSA) di Jalan Haji Usman sekitar Pasar Ciputat, Kota Tangerang Selatan (Tangsel) berlaku mulai hari ini, Rabu (2/7/2025). Selama pemberlakuan sistem tersebut kendaraan roda dua dan empat dilarang parkir di badan jalan tersebut.  ""Fasilitas parkir yang terbatas sehingga kendaraan banyak yang melakukan parkir di badan jalan,"" kata Kepala Bidang Lalu Lintas Dinas Perhubungan Kota Tangsel, Martha Lena, Rabu (2/6/2025).  Selama uji coba sistem satu arah Jalan H Usman Ciputat, lanjut Martha, pihaknya menyiapkan sejumlah kantung parkir kendaraan untuk masyarakat yang beraktivitas di Pasar Ciputat."
7074311e0e438f4f7a7ed7810a84b2e2cdfeb42a,"MANILA, Philippines — When he found out one morning that Liam Payne had died, Isaac Jeff Coloma tried his hardest to fight back tears.  It was hard for him to process the demise of the former One Direction member, who changed his life in more ways than one.  “I immediately remembered all the memories I had as a fan, the friends I made, the [Liam Payne Philippines] team — like an instant flashback to my teenage years in my head,” he told Rappler.  Payne was found dead in Buenos Aires, Argentina, on Wednesday, October 16. When the news broke, Coloma received a deluge of messages from people he had not spoken to in years. They remembered how much the British singer meant to him.  Coloma, who was known as “Jeff” by his fellow Directioners, used to be the president of Liam Payne Philippines (LPPH). He organized events, including fan projects and a cinema block screening. This is where he learned to coordinate with artist management, music stores, event places, and sponsors to make them happen.  His passion for social media management and event planning, which was brought by his love for Payne and One Direction, eventually became a part of his career. He is currently in France, where he served as a National Olympic Committee Assistant during the Paris Olympics.  “There were actual athletes, sports management graduates, and even French speakers who applied,” he said. “But here I am now, answering your questions from Paris, with my Curriculum Vitae having ‘Liam Payne Philippines’ on it.”  The greatest team the world has ever seen  More than the career opportunities he had found, Coloma values the lifelong friendships he formed as part of the LPPH community.  Coloma joined the fan base shortly after it was founded in 2013. He was happy to have bonded immediately with a group of people who share the same love for Payne and the rest of One Direction.  Even when the band went on a hiatus in 2016, Coloma stayed connected with his fellow Filipino Directioners and LPPH members.  “I know a lot of people think that online friends are just temporary, but now, they [are] some of the longest friends I’ve had, who have also guided me and been with me throughout ups and downs,” he said.  He recalled many fond memories with the team, from late-night event planning to their simple interactions with fellow fans online.  “I think one of the most heartbreaking parts about this is we went from organizing album or song launches, birthday and anniversary parties, to now organizing an in memoriam and a eulogy for him,” he said.  Just hours after his death was announced, members of LPPH who are still based in the Philippines were able to organize a memorial event for Payne, which will be held from Saturday, October 19, to Sunday, October 20, at the Ayala Malls Manila Bay in Pasay City.  One Direction rose to fame after it finished third on the British version of the “X Factor” in 2010. The group last visited the Philippines in March 2015 as part of their “On The Road Again” tour."
bcf88c7be141aafa4717e1c75c8faf61d2281566,"WAHANANEWS.CO, Jakarta - Skandal korupsi pembangunan jalan di Sumatera Utara kembali menyeruak setelah dua operasi tangkap tangan (OTT) dilakukan Komisi Pemberantasan Korupsi (KPK) pada Kamis (26/6/2025).  Kasus ini membongkar dugaan korupsi senilai ratusan miliar rupiah dari proyek-proyek strategis yang mestinya membangun infrastruktur vital.   Dulu Viral karena Lampu Pocong, Kini Topan Ginting Viral karena Rompi Oranye  Plt Deputi Penindakan KPK, Asep Guntur Rahayu, membeberkan total nilai proyek yang disasar dalam dua OTT tersebut mencapai Rp 231,8 miliar.  “Setelah melalui proses pemantauan, kami kumpulkan data dan menemukan bahwa ada proyek pembangunan jalan di dua tempat. Pertama, di Dinas PUPR Sumatera Utara,” ujar Asep dalam konferensi pers di Gedung KPK, Jakarta Selatan, Sabtu (28/6/2025).  Proyek pertama adalah Preservasi Jalan Sp. Kota Pinang – Gunung Tua – SP. Pal XI Tahun 2023 senilai Rp 56,5 miliar. Selanjutnya, proyek tahun 2024 di jalur yang sama dengan nilai Rp 17,5 miliar.   Uang Rp2 M Tersebar, KPK Bidik Siapa Terima “Jatah Jalan” di Sumut  Lalu ada proyek rehabilitasi dan penanganan longsor tahun 2025, serta preservasi jalan di tahun yang sama.  OTT kedua membidik proyek di Satuan Kerja Pembangunan Jalan Nasional (PJN) Wilayah 1 Sumut, termasuk pembangunan Jalan Sipiongot–batas Labuhanbatu Selatan senilai Rp 96 miliar, dan Jalan Hutaimbaru–Sipiongot dengan nilai Rp 61,8 miliar.  “Sehingga total nilai proyek setidaknya sejumlah Rp 231,8 miliar,” tegas Asep."
5b9071c1224fbd0027e1e87c1244002293883880,"Papua.WahanaNews.co, Jayapura – Keberhasilan Bripda Karel Dadimo, seorang anak dari Suku Asmat yang meraih gelar juara dalam lomba menulis surat untuk Kapolri pada peringatan Hari Bhayangkara ke-76 tahun 2022, kini menjadi kisah nyata yang menginspirasi. Impiannya untuk menjadi bagian dari Kepolisian Indonesia telah terwujud.  Menghadiri upacara penghargaan di Markas Besar Kepolisian Republik Indonesia, Bripda Karel Dadimo yang masih duduk di bangku kelas XI IPS 1 di SMA Katolik Yan Smith, Agats, Kabupaten Asmat, Papua, saat itu bertemu langsung dengan Kapolri Jenderal Polisi Listyo Sigit Prabowo.   Percaloan Rp 4,9 Miliar Terbongkar, Dua Anggota Polda Maluku Di-PTDH  Dalam suratnya, Karel menunjukkan keinginannya untuk mengabdikan diri sebagai anggota Polri di daerah asalnya, Kabupaten Asmat. Kamis tanggal 21 Desember 2023, janji Kapolri terwujud. Karel Dadimo resmi dilantik sebagai seorang anggota Polri dengan pangkat Brigadir Polisi Dua.  Langkah besar ini tidak hanya menjadi pencapaian pribadi Karel, tetapi juga simbol dari komitmen Kapolri dalam memberikan kesempatan kepada anak-anak Papua untuk berkarya dan mengabdi pada negara.  Pada momen pelantikan tersebut, tidak lupa menjadi sebuah ungkapan terima kasih dari Bripda Karel.   Anggota DPR Apresiasi Ketegasan Polda Riau Tindak Anggota Polri Penyalahguna Narkotika  ""Saya mengucapkan terima kasih yang sedalam-dalamnya kepada Bapak Kapolri, SDM Polri, Kapolda Papua, Wakapolda, Karo SDM, Ka SPN, dan Kabid Humas Polda Papua yang telah membantu mewujudkan impian saya. Saya kini menjadi anggota Polri berkat bantuan mereka,"" ujarnya dalam sebuah wawancara setelah pelantikan.  Berjanji untuk menjadi anggota Polri yang baik, Karel menegaskan komitmennya untuk menjalankan tugas dengan penuh dedikasi.  ""Saya akan bersungguh-sungguh mengemban tugas ini dan berusaha untuk bermanfaat bagi seluruh masyarakat, terutama di daerah saya sendiri, Kabupaten Asmat,"" tuturnya penuh semangat."
57613d0bc12752638d43a27d136d22d7fa2a9528,"Papua.WahanaNews.co, Jayapura – Para petani di Genyem, Distrik Nimboran, Kabupaten Jayapura, merasa sangat bersyukur atas perhatian yang diberikan oleh Kepolisian Daerah Papua (Polda Papua) dalam upaya meningkatkan produksi pertanian di wilayahnya.  Kunjungan personel Subdit II Ekonomi Direktorat Intelkam Polda Papua pada Minggu (22/10/2023), petani di Genyem menerima bantuan berupa alat semprot dan obat-obatan untuk mendukung peningkatan produksi tanaman seperti cabai, jagung, umbi-umbian, dan lainnya.   Produksi Beras Meningkat, Bapanas Pastikan Petani Tetap Untung Lewat Harga Gabah Resmi  Yohanis Yanuaring, salah satu petani cabai di Genyem, menyambut baik kunjungan dan bantuan yang diberikan oleh Polda Papua.  ""Kami sangat berterima kasih kepada Kapolda Papua dan Dit Intelkam yang telah datang mengunjungi kami di kampung serta memberikan bantuan untuk peningkatan produksi pertanian,"" ungkapnya.  Ia juga menyatakan perhatian Polda Papua kepada warga Genyem bukan hanya dalam hal keamanan, tetapi juga dalam mendukung sektor pertanian.   Percepat Swasembada Pangan, Wapres Raka ke NTT Temui Petani Kolisia Sikka  Yohanis berharap bahwa perhatian ini akan menjadi dorongan bagi warga dan petani setempat untuk terus meningkatkan hasil pertanian demi mendukung ekonomi keluarga.  Selain sebagai petani, Yohanis juga merupakan Ketua Pemuda Garuda Merah Putih Kabupaten Jayapura.  Sebelumnya, pada Rabu, 18 Oktober 2023, tim dari Direktorat Intelkam Polda Papua yang dipimpin oleh Kompol Laurens T Tukan, bersama AKP Sosra Antoni dan Ipda Edyson Patty serta anggotanya, mengunjungi petani di Genyem, Distrik Nimboran, Jayapura."
2aee75876c0c58744ecf559592dd62a842fb4733,"Papua.WahanaNews.co, Kepulauan Yapen | Polres Kepulauan Yapen menunjukkan komitmennya dalam menjaga lingkungan dan ekosistem alam. Upaya tersebut terwujud dalam penanaman 200 bibit pohon yang dilaksanakan di Pantai Rambai, Kampung Rambai, Distrik Yawakukat, Selasa (19/9/2023).  Wakapolres Kepulauan Yapen, Kompol Nursalam Saka, yang mewakili Kapolres Kepulauan Yapen, AKBP Herzoni Saragih menjelaskan bahwa kegiatan penghijauan ini bertujuan untuk menjaga kelestarian lingkungan, baik dari darat hingga ke pinggiran pantai.   TNI-Polri Satgas TMMD ke-123 Tanam Pohon untuk Pelestarian Lingkungan di Tarakan  ""Saat ini, kita telah menanam sebanyak 200 bibit pohon, terdiri dari 100 pohon mangrove dan 100 bibit pohon campuran, termasuk durian, matoa, rambutan, kayu besi, dan beberapa jenis pohon lainnya,"" ujar Wakapolres Kepulauan Yapen.  Upaya penanaman pohon ini diharapkan akan memberikan manfaat jangka panjang bagi masyarakat setempat.  ""Selain memberikan manfaat ekologis, perawatan tanaman ini juga akan bermanfaat bagi generasi mendatang,"" tambahnya.   Pemerintah Kota Pekalongan Tanam Pohon di Wilayah Rawan Banjir dan Rob  Giat penanaman pohon Polres Kepulauan Yapen. (Foto: WahanaNews/Polres Kepulauan Yapen)  Sementara, Petrus Aba selaku Kepala Kampung Rambai Distrik Yawakukat, menyampaikan rasa terima kasih kepada Polres Kepulauan Yapen atas bantuan dalam penanaman pohon di kampung mereka.  ""Penanaman pohon, terutama pohon mangrove, sangat penting mengingat Kampung Rambai berada tepat di pinggiran pantai,"" ujar Petrus Aba."
860c840626f99119a9124df75b37d615c16f0706,"Wahananews-Papua Barat | Setelah sempat tertunda, Pengurus Wilayah (PW) Ikatan Wartawan Online (IWO) Sulsel akhirnya melantik lima pengurus daerah (PD) IWO, diantaranya Gowa, Jeneponto, Takalar, Wajo dan Luwu di Cafe Ombak, Marina Park Hotel jalan Penghibur Makassar, Minggu (21/11/2021).  Kelima pengurus daerah ini dilantik oleh Ketua PW IWO Sulsel, Zulkifli Thahir, yang turut dihadiri Ketua Umum IWO, Jodhi Yudhono, Ketum PP LBH IWO, Sandy Nayoan, Bendahara Umum Iwo Lia Nathalia, Plt Gubernur Sulsel yang diwakili Kadis Kominfo-SP, Amson Padolo, Wali Kota Makassar yang diwakili Asisten II, Rusmayani Majid, Perwakilan Pandam 14 Hasanuddin, Kodim 1408 Makassar dan Perwakilan Kapolres Pelabuhan Makassar, KNPI, Pemuda Pancasila serta sejumlah Pengurus dan Dewan Etik PW IWO Sulsel.   Bercerita tentang Dua Sosok, Sobary dan Jodhi  Ketua PW IWO Sulsel, Zulkifli Thahir, dalam sambutannya mengatakan, pelantikan lima PD IWO ini menjadi bukti semakin berkembangnya IWO di Sulawesi Selatan.  Sebelumnya PD IWO Soppeng dan Sinjai sudah terlebih dahulu dilantik di daerah masing-masing.  “Sebelumnya Soppeng dan Sinjai telah dilantik, kini pataka IWO berkibar di tujuh daerah, tentunya kita harapkan kehadiran IWO di daerah-daerah dapat menjadi contoh teladan dalam melakukan aktivitas profesi Wartawan, menegakkan dan berkitab Undang Undang nomor 40 tahun 1999, tentang Pers dan Kode Etik Jurnalistik (KEJ),” harap Cule sapaannya.   Dewan Pers Fitnah dan Bohong, Dilaporkan Ketua IWO Sumut Ke Polda Metro Jaya  Kehadiran PD IWO di daerah didapatkan menjadi corong informasi yang bermanfaat kepada publik dengan selektif melaksanakan kerja-kerja profesi kewartawanan dengan profesional.  Sementara Ketum PP IWO, Jodhi Yudhono mengharapkan, PD IWO yang dilantik serentak dapat menjaga nama organisasi profesi IWO di daerahnya masing-masing.  “Laksanakan profesi dengan baik dan benar dengan berpedoman pada Undang Undang pokok Pers dan KEJ, seorang wartawan harus mampu membangun peradaban dan kemanusiaan,” kata Jodhi."
8fd192a5f6d6ef3eaadcb4374fe736601a08a6b2,"WahanaNews-Papua I Mengutip data Badan Pusat Statistik (BPS), Jumat (5/11/2021) Papua menjadi provinsi yang mencatatkan ekonomi tertinggi pada kuartal III 2021, yakni 14,54 persen secara tahunan. Pertumbuhannya naik ketimbang kuartal 2021 yang sebesar 13,7 persen.  Data BPS menyebutkan, pertambangan dan penggalian menjadi kontributor terbesar untuk ekonomi Papua. Sektor itu tercatat tumbuh 37,56 persen.   Tragedi Sadis di Puncak Papua: KKB Ngamuk Gegara Perselingkuhan, 3 Nyawa Melayang  Kemudian, terdapat 13 sektor lain yang juga mendorong ekonomi Papua. Rinciannya, jasa perusahaan yang tumbuh 2,02 persen, infokom 2,71 persen, perdagangan besar 9,3 persen, konstruksi 3,76 persen, serta pengadaan listrik dan gas 9,29 persen.  Lalu, jasa kesehatan dan kegiatan sosial tercatat tumbuh 5,21 persen, jasa keuangan dan asuransi 4,49 persen, jasa lainnya 3,73 persen, real estat 7,04 persen, penyedia akomodasi dan makan minum 6,14 persen, pengadaan air, sampah, dan daur ulang 6,58 persen, pertanian, kehutanan, dan perikanan tumbuh 1,22 persen, serta transportasi dan pergudangan 0,24 persen.  Sementara, terdapat tiga sektor usaha yang masih terkontraksi. Detailnya, industri pengolahan minus 0,1 persen, jasa pendidikan minus 5,82 persen, serta administrasi pemerintahan minus 3,98 persen.   Papua Memanas: TNI Dituduh Siksa Warga Sipil, Koalisi HAM Ungkap Fakta Mengejutkan  Data BPS menunjukkan pertambangan dan penggalian menjadi sumber pertumbuhan tertinggi, yakni 12,95 persen."
307da0ac4f8df11fe7e1e68639fb60498a6c68fd,"Papua.WahanaNews.co, Tolikara - Kepala Kampung dan masyarakat Miyanagame Distrik Yuko, Kabupaten Tolikara, Provinsi Papua Pegunungan mengucapkan terima kasih kepada Pemkab Tolikara dalam hal ini Penjabat (Pj) Bupati Tolikara Marthen Kogoya.  Pemerintah Kampung Miyanagame saat ini telah memiliki kantor, dimana pembangunannya oleh Pemkab Tolikara.   TNI Sergap Persembunyian OPM di Yahukimo: Dua Tewas, Pistol dan Ladang Ganja Disita  Demikian disampaikan Kepala Kampung Anius Wenda, Rabu (31/7/2024) kepada Reporter WahanaNews.co di Miyanagame distrik Yuko, Kabupaten Tolikara.  ""Kami senang telah memiliki Kantor Kampung Miyanagame, ini semua berkat perhatian pemerintah daerah Kabupaten Tolikara,"" kata Anius Wenda.  Kepala Kampung Anius Wenda bersama warga. (Foto: WahanaNews/Bawi Kogoya)   Bripda Josua Nainggolan Jadi Korban Pembacokan di Yahukimo  Dirinya dan seluruh masyarakat, baik tokoh gereja, tokoh masyarakat dan toko adat, juga tokoh pemuda mengucap syukur kepada Tuhan, kantor desanya sudah dibangun pemerintah.  ""Papan nama juga sudah kami pasang, ini semua untuk menjalankan roda pemerintahan di Kampung Miyanagame Distrik Yuko,"" ujarnya.  Lanjutnya, masyarakat di kampung tersebut menyambut baik dan apresiasi pemerintah Kabupaten Tolikara yang telah menyelesaikan pembangunan kantor kepala kampung Miyanagame."
